DorM,Cache(M),Cores,Threads,Speed(GHz),Price,Name
0,4.00,2,4,2.6,393.00,i7-6600U
0,4.00,2,4,2.5,415.00,i7-7660U
0,4.00,2,4,2.6,393.00,i7-5600U
0,4.00,2,4,3.1,426.00,i7-5557U
0,8.00,4,8,1.9,409.00,i7-8650U
0,4.00,2,4,2.9,393.00,i7-7600U
0,8.00,4,8,1.8,409.00,i7-8565U
0,8.00,4,8,1.8,409.00,i7-8550U
0,4.00,2,4,2.7,393.00,i7-7500U
0,4.00,2,4,2.5,393.00,i7-6500U
0,4.00,2,4,2.5,393.00,i7-6498DU
0,4.00,2,4,2.4,393.00,i7-5500U
0,4.00,2,4,2.4,393.00,i7-5500DU
0,4.00,2,4,2,393.00,i7-4510U
0,4.00,2,4,2,304.00,i5-6360U
0,4.00,2,4,2.3,304.00,i5-7360U
0,4.00,2,4,1.8,304.00,i5-6260U
0,4.00,2,4,2.2,304.00,i5-7260U
0,4.00,2,4,3.1,304.00,i5-6287U
0,4.00,2,4,3.3,304.00,i5-7287U
0,6.00,4,8,2.6,320.00,i5-8269U
0,4.00,2,4,2.9,304.00,i5-6267U
0,4.00,2,4,3.1,304.00,i5-7267U
0,6.00,4,8,2.3,320.00,i5-8259U
0,3.00,2,4,1.8,315.00,i5-5350U
0,3.00,2,4,2.4,281.00,i5-6300U
0,3.00,2,4,2.3,281.00,i5-5300U
0,3.00,2,4,2.9,315.00,i5-5287U
0,3.00,2,4,2.7,315.00,i5-5257U
0,3.00,2,4,1.6,315.00,i5-5250U
0,6.00,4,8,1.7,297.00,i5-8350U
0,3.00,2,4,2.6,281.00,i5-7300U
0,6.00,4,8,1.6,297.00,i5-8265U
0,6.00,4,8,1.6,297.00,i5-8250U
0,3.00,2,4,2.5,281.00,i5-7200U
0,3.00,2,4,2.3,281.00,i5-6200U
0,3.00,2,4,2.3,281.00,i5-6198DU
0,3.00,2,4,2.2,281.00,i5-5200U
0,3.00,2,4,2.2,281.00,i5-5200DU
0,3.00,2,4,2.4,304.00,i3-6157U
0,3.00,2,4,2.7,304.00,i3-6167U
0,3.00,2,4,2.8,304.00,i3-7167U
0,4.00,2,4,3,304.00,i3-8109U
0,3.00,2,4,2.5,315.00,i3-5157U
0,3.00,2,4,2.1,281.00,i3-5010U
0,3.00,2,4,2,275.00,i3-5005U
0,3.00,2,4,2.4,281.00,I3-7100U
0,4.00,2,4,2.1,281.00,I3-8145U
0,4.00,2,4,2.2,281.00,i3-8130U
0,3.00,2,4,2,281.00,i3-6006U
0,3.00,2,4,2.3,281.00,i3-6100U
0,3.00,2,4,2.2,281.00,i3-5020U
0,3.00,2,4,2.1,281.00,i3-5015U
0,4.00,2,4,1.2,393.00,m7-6Y75
0,4.00,2,4,1.1,281.00,m5-6Y57
0,4.00,2,4,1.1,281.00,m5-6Y54
0,4.00,2,4,0.9,281.00,m3-6Y30
0,4.00,2,4,1.5,393.00,i7-8500Y
0,4.00,2,4,1.3,393.00,i7-7Y75
0,4.00,2,4,1.2,281.00,i5-7Y57
0,4.00,2,4,1.3,281.00,i5-8200Y
0,4.00,2,4,1.2,281.00,i5-7Y54
0,4.00,2,4,1.1,281.00,"M3-8100Y,"
0,4.00,2,4,1,281.00,"m3-7Y30,"
0,4.00,2,4,1.2,281.00,5Y71
0,4.00,2,4,1.1,281.00,5Y51
0,4.00,2,4,0.9,281.00,5Y31
0,4.00,2,4,0.8,281.00,5Y10c
